origin 	 dest 	 flow 	 cost
374	13228	11409.9948	1.58231175
374	25304	19374.0052	1.327179298
374	31452	0	3.563886
374	37653	0	2.506965
375	14498	2334	4.331840409
375	21820	1155	2.392293045
375	29171	108	8.845744001
375	38430	0	14.708727
376	28232	2652	0.55017607
376	33561	0	2.887312
377	10837	2694	4.687642616
377	19121	0	9.763548
377	31717	329	6.753393007
378	11371	2555	3.296071383
378	19121	1450	7.344426232
379	6405	173	13.702353
379	29110	121	18.66876
380	30378	483	7.84738502
380	32096	202	6.299024002
380	33951	1704	6.464653296
381	41704	2245	4.530846391
381	41973	259	9.557962006
382	29572	1176	4.286767084
382	40430	440	5.527710011
383	41969	3148	4.349331818
383	44001	0	8.03266
384	17013	51	5.177924
384	21665	2227	3.364805285
384	39791	479	3.739810009
385	14288	17	7.832335
385	16523	0	12.025986
385	41039	1612	4.824655195
386	33399	2802	5.056974727
386	41870	4049	4.290245439
387	7455	2089	5.489482402
387	8106	45	3.650409
387	14222	0	12.259444
387	23154	372	6.88290101
388	9032	2019	2.182340148
388	23154	133	4.532064001
388	36081	47	5.195104
389	14839	8	3.650253
389	25600	742	5.672643038
389	30158	0	6.327648
389	38118	841	0.872867008
390	14958	562.3504908	5.66183002
390	38599	38.64950918	17.594889
390	41299	74	18.676073
391	11413	171	5.810148001
391	15882	0	9.568438
391	21712	991	4.370012058
392	13204	76	5.330625
392	14222	77	5.693009
392	17674	0	7.080764
392	35409	2137	1.81309014
393	18667	335	4.576905005
393	22508	2305	3.825554351
393	40216	65	8.433107
394	10369	1497	3.404435116
394	11746	1218	4.546058096
394	32242	0	12.337648
395	25439	1408	1.221034036
395	42365	2151	2.354430184
396	5326	1540	2.555594093
396	15622	2	10.878063
396	28644	732	9.235255061
396	38075	0	15.869659
397	25814	1159	5.189687098
397	35632	233	8.889965004
397	39450	1182	5.324720105
398	7020	2189	1.166398095
398	19809	158	7.010492001
398	43521	0	4.741368
399	19809	48	9.048145
399	22285	776	7.249887054
399	25781	667	9.42180905
399	35283	12	3.925108
400	18089	2318	5.573792518
400	37295	0	8.580869
400	41901	828	7.242765063
401	17198	3288	0.713170148
401	31502	0	1.01639
402	14742	606	11.00797705
402	31356	593	7.198848029
403	13284	0	7.81812
403	24149	727	8.885201057
403	26862	1407	7.942029234
403	38094	2420	1.736285178
404	17746	2260	0.841602074
405	12342	3955	0.25120708
406	8478	0	6.466705
406	24149	256	10.52580701
406	36816	3061	2.052688362
406	38361	0	7.818696
406	44784	2	11.87638
407	18264	2441	1.566665164
407	19173	2126	1.996640152
408	6491	8	8.971227
408	20738	89	7.004558
408	21227	55	13.691085
408	29846	1107	6.708901114
409	11440	66	6.493447
409	36813	1599	7.467191296
409	40136	62	20.673096
409	41403	290	10.95175001
410	10943	2822	4.208054615
410	36813	46	13.382745
411	28736	122	3.561482
411	40186	926	2.190733025
412	20649	5242	0.09948506
412	34381	1127	0.060711001
413	12607	262	6.660246004
413	14407	631	2.21457101
413	24995	122	9.351340001
413	28256	3084	2.594470465
413	35141	0	14.707083
414	25541	0	1.970235
414	26975	7665	0.683665995
415	43533	1032	4.12127406
415	43535	950	6.67228908
416	15279	3217	1.0134982
416	41040	0	6.680842
417	25509	0	1.219786
417	34706	5431	0.230644152
418	28051	160	4.091031001
418	43911	3652	1.520440402
419	6463	2702	0.335835044
419	19738	677	0.340594002
420	18685	319	8.771129009
420	25419	91	7.619979
420	28163	969	1.727750022
421	18685	1521	4.363856154
421	39753	27	5.651062
422	19356	47	8.138842
422	25562	1281	2.96042407
422	43849	51	9.660064
423	12493	288	7.339547006
423	20293	223	19.17919301
423	29054	49	22.156176
424	17664	1155	3.915787073
424	22714	1430	3.775965116
424	29681	0	12.268429
424	32317	0	14.460574
425	23349	960	5.130186063
425	25419	95	8.352728001
425	41311	1165	4.900294094
426	15995	665	0.539377003
426	25085	1384	0.267189008
427	27920	368	7.032900009
427	30297	89	9.355886
428	23258	1308	7.364425184
428	28451	302	13.30448901
429	8157	134	6.785695001
429	32312	0	10.248032
429	33749	1331	7.783861202
429	35191	1105	4.589351078
429	37196	277	3.424263002
430	29801	89	2.428335
430	35191	2939	3.455426555
431	16322	3761	2.068816585
431	26946	16	2.668952
432	25066	2897	2.527359392
432	27219	2	9.455645
433	24137	228	9.482714004
433	44318	306	3.809851003
434	13894	40	30.394537
434	36345	27	15.806985
434	39429	433	13.67377903
434	41516	674	23.03378512
435	7684	543	7.628551025
435	43809	1838	16.13032988
436	8163	74	2.000002685
436	15907	925	2.00089487
436	23168	1590	5.202031203
436	39668	0	10.158749
