From	To	Volume	Cost
20400	235674	0	5.573792
20401	205083	5704.42078	0.713170526
20402	210142	699.654243	7.198848043
20402	235656	1267.545202	11.00797726
20403	210070	1853.776011	7.818120435
20403	235657	5096.636797	8.885206059
20403	235658	0	7.942029
20403	235659	3892.505236	1.736285532
20404	235663	2569.117029	0.841602099
20405	219014	5668.962768	0.251207183
20406	235660	3013.267202	7.818697329
20406	235659	208.803293	10.525807
20406	235667	30.601114	2.052688
20407	219053	3129.327881	1.99664037
20407	219050	4188.327026	1.566665568
20408	235645	1719.60673	7.004558328
20408	210398	172.00019	13.691085
20409	214153	927.324693	20.67309623
20409	235646	119.878104	6.493447001
20409	235647	826.192542	10.95175009
20410	208700	745.290855	13.38274509
20411	208651	861.337125	3.561482034
20412	205690	7381.427019	0.099485133
20413	208649	1223.357199	9.3513402
20413	208648	796.184585	14.70708312
20413	235676	0	2.214571
20413	208633	405.885187	2.594470004
20414	208630	0	1.970235
20415	210143	1781.578121	4.121274209
20416	210248	0	6.680842
20418	210256	1027.377536	4.091031059
20418	210252	6702.79053	1.520441625
20420	210381	333.895489	8.771129009
20421	210382	785.46139	5.651062044
20422	235649	199.870899	8.138842003
20423	202655	676.299051	7.33954704
20424	235651	1609.86679	12.26842949
20424	235652	0	3.775965
20425	235654	107.736326	8.352728001
20426	210245	2216.45551	0.267189022
20427	208687	349.04997	9.355886011
20427	208692	86.725939	7.0329
20428	208736	1207.492382	7.364425153
20429	235637	909.967208	10.24803211
20429	235639	2173.193787	6.785695544
20429	235640	0	3.424263
20430	214166	987.758523	3.455426045
20430	235638	7704.213846	2.428338576
20431	208729	7829.816695	2.668956079
20431	208723	167.416222	2.068816
20432	235641	277.705453	9.455645007
20433	210218	278.523799	3.809851003
20434	205664	611.994964	13.67377906
20434	205655	112.330255	15.806985
20435	210217	3506.714798	7.628552838
20436	235632	7024.666765	0
20436	235633	270.957466	0
20436	235635	3000.859006	10.15875071
20437	235636	1905.636534	3.293430195
20438	214168	6026.379299	6.908193782
20439	208708	5682.093349	3.796946776
20440	210235	1634.280601	7.381597307
20441	235625	630.726013	12.01554806
20442	235623	869.61593	3.750568037
20443	210230	639.055286	9.465230045
20445	204478	50185.82356	3.910499672
20446	204925	97.962378	1.423532
20446	204926	19535.50467	0.559350001
20447	235615	2299.989039	2.320017212
20448	235617	4827.21363	3.32431467
20451	210108	564.799247	7.805511028
20452	210124	1382.393603	6.331131179
20454	210128	1118.836066	16.94245529
20454	235619	152.788551	4.744278001
20455	224501	3336.588638	4.728110016
20456	224502	8598.402825	0.836729586
20457	204933	14209.3787	1.690399175
20457	204937	350.301435	0.458509001
20459	210135	15597.38347	3.407753415
20461	224510	499.712251	0.505807001
20462	210177	584.586495	5.974618023
20463	210184	0	7.781443
20463	235611	409.220475	1.127057002
20464	210207	1942.043715	0.946858059
20465	224576	77.209651	7.935203
20467	224578	302.222976	11.41565801
20468	237144	46.009636	11.706569
20469	224554	6398.108376	1.298759248
20470	224535	532.578251	2.548380002
